State,County,City,Date,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Arizona,Maricopa,Phoenix,11/6/2006,44.590909,0.009625,2.869565,1.7
Arizona,Maricopa,Phoenix,11/7/2006,43.625,0.007917,3.791667,1.508333
Arizona,Maricopa,Phoenix,11/8/2006,37.958333,0.009083,3.375,1.0375
Arizona,Maricopa,Phoenix,11/9/2006,36.791667,0.01075,1.916667,0.808333
Arizona,Maricopa,Phoenix,11/10/2006,33.041667,0.016208,1.458333,0.8125
Arizona,Maricopa,Phoenix,11/11/2006,37.541667,0.014792,2.791667,1.0875
Arizona,Maricopa,Phoenix,11/12/2006,24.083333,0.023167,0.291667,0.379167
Arizona,Maricopa,Phoenix,11/13/2006,39,0.010042,2.173913,1.069565
Arizona,Maricopa,Phoenix,11/14/2006,38.090909,0.011167,1.26087,0.913636
Arizona,Maricopa,Phoenix,11/15/2006,37.833333,0.013583,2.291667,1.15
Arizona,Maricopa,Phoenix,11/16/2006,48.333333,0.009208,4.125,1.616667
Arizona,Maricopa,Phoenix,11/17/2006,43.083333,0.009,3.875,1.491667
Arizona,Maricopa,Phoenix,11/18/2006,41.333333,0.01075,2.666667,1.425
Arizona,Maricopa,Phoenix,11/19/2006,35.583333,0.014167,2.125,1.3375
Arizona,Maricopa,Phoenix,11/20/2006,41.090909,0.016875,2.681818,0.777273
Arizona,Maricopa,Phoenix,11/21/2006,41.833333,0.013792,2.5,1.0125
Arizona,Maricopa,Phoenix,11/22/2006,40.958333,0.011333,3.5,1.225
